endpoint,n_val_rows,shared_sentence,clf_recall,retr_recall,delta_retr_minus_clf,example
/agent5/movement5/movement,1055,True,1.0,1.0,0.0,i need to read movement sensor in garage
/agent2/movement2/movement,1042,True,1.0,1.0,0.0,i need to read movement sensor in bed room parents
/agent20/movement20/movement,1037,True,1.0,1.0,0.0,i need to read movement sensor in room_1
/agent4/movement4/movement,1034,True,1.0,1.0,0.0,i need to read movement sensor in kitchen
/agent4/battery3/charging,1033,True,1.0,1.0,0.0,i need to read battery service in kitchen
/agent22/movement22/movement,1027,True,1.0,1.0,0.0,i need to read movement sensor in room_3
/agent6/movement6/movement,1010,True,1.0,1.0,0.0,i need to read movement sensor in bath room
/agent14/washingmachine3/washing,440,False,1.0,1.0,0.0,i need to read washing service in shower room
/agent12/doorlock3/open,213,False,1.0,1.0,0.0,i need to write door lock service in entrance
/agent20/lightcontrol20/lightOn,33,False,1.0,1.0,0.0,i need to read light controler in room_1
/agent26/lightcontrol26/lightOn,33,False,1.0,1.0,0.0,i need to read light controler in room_7
/agent24/lightcontrol24/lightOn,29,False,1.0,1.0,0.0,i need to read light controler in room_5
/agent25/lightcontrol25/lightOn,29,False,1.0,1.0,0.0,i need to read light controler in room_6
/agent21/lightcontrol21/lightOn,28,False,1.0,1.0,0.0,i need to read light controler in room_2
/agent22/lightcontrol22/lightOn,26,False,1.0,1.0,0.0,i need to write light controler in room_3
/agent29/lightcontrol29/lightOn,26,False,1.0,1.0,0.0,i need to read light controler in room_10
/agent21/doorlock5/open,25,False,1.0,1.0,0.0,i need to read door lock service in room_2
/agent27/lightcontrol27/lightOn,25,False,1.0,1.0,0.0,i need to read light controler in room_8
/agent28/lightcontrol28/lightOn,24,False,1.0,1.0,0.0,i need to read light controler in room_9
/agent14/lightcontrol14/lightOn,21,False,1.0,1.0,0.0,i need to write light controler in shower room
/agent23/lightcontrol23/lightOn,20,False,1.0,1.0,0.0,i need to write light controler in room_4
/agent10/lightcontrol10/lightOn,17,True,1.0,1.0,0.0,i need to read light controler in living room
/agent12/lightcontrol12/lightOn,17,False,1.0,1.0,0.0,i need to write light controler in entrance
/agent3/heatingcontrol1,17,False,1.0,1.0,0.0,i need to write thermostat in dinning room
/agent2/lightcontrol2/lightOn,15,False,1.0,1.0,0.0,i need to write light controler in bed room parents
/agent11/lightcontrol11/lightOn,14,False,1.0,1.0,0.0,i need to read light controler in watter room
/agent20/doorlock4/open,14,False,1.0,1.0,0.0,i need to read door lock service in room_1
/agent24/movement24/lastChange,14,True,0.0,0.0,0.0,i need to write movement sensor in room_5
/agent4/lightcontrol4/lightOn,14,False,1.0,1.0,0.0,i need to write light controler in kitchen
/agent22/movement22/lastChange,13,True,0.0,0.0,0.0,i need to write movement sensor in room_3
/agent25/heatingcontrol4,13,False,1.0,1.0,0.0,i need to write thermostat in room_6
/agent1/lightcontrol1/lightOn,12,False,1.0,1.0,0.0,i need to write light controler in bed room children
/agent3/lightcontrol3/lightOn,12,False,1.0,1.0,0.0,i need to write light controler in dinning room
/agent5/movement5/lastChange,12,True,0.0,0.0,0.0,i need to write movement sensor in garage
/agent6/lightcontrol6/lightOn,12,False,1.0,1.0,0.0,i need to write light controler in bath room
/agent13/lightcontrol13/lightOn,11,False,1.0,1.0,0.0,i need to write light controler in bed room
/agent5/lightcontrol5/lightOn,10,False,1.0,1.0,0.0,i need to write light controler in garage
/agent6/movement6/lastChange,10,True,0.0,0.0,0.0,i need to write movement sensor in bath room
/agent2/movement2/lastChange,9,True,0.0,0.0,0.0,i need to write movement sensor in bed room parents
/agent1/movement1/lastChange,8,True,0.0,0.0,0.0,i need to write movement sensor in bed room children
/agent14/movement14/lastChange,8,True,0.0,0.0,0.0,i need to write movement sensor in shower room
/agent20/movement20/lastChange,7,True,0.0,0.0,0.0,i need to write movement sensor in room_1
/agent3/movement3/lastChange,6,True,0.0,0.0,0.0,i need to write movement sensor in dinning room
/agent4/movement4/lastChange,6,True,0.0,0.0,0.0,i need to write movement sensor in kitchen
/agent29/movement29/lastChange,5,True,0.0,0.0,0.0,i need to write movement sensor in room_10
/agent10/movement10/lastChange,3,True,0.0,0.0,0.0,i need to write movement sensor in living room
/agent11/washingmachine3/washing,3,False,1.0,1.0,0.0,i need to read washing service in watter room
/agent12/movement12/lastChange,3,True,0.0,0.0,0.0,i need to write movement sensor in entrance
/agent27/movement27/lastChange,3,True,0.0,0.0,0.0,i need to write movement sensor in room_8
/agent10/doorlock2/open,2,False,1.0,1.0,0.0,i need to read door lock service in living room
/agent10/movement10,1,True,0.0,0.0,0.0,i need to read movement sensor in living room
/agent4/tempin4,1651,False,0.9994,1.0,0.0006,i need to write sensor service in kitchen
/agent11/tempin11,1648,False,0.9994,1.0,0.0006,i need to read sensor service in watter room
/agent20/tempin20,1590,False,0.9994,1.0,0.0006,i need to write sensor service in room_1
/agent4/battery3/charge,1165,True,0.0,0.0009,0.0009,i need to read battery service in kitchen
/agent12/heatingcontrol3,19,False,0.9474,1.0,0.0526,i need to write thermostat in entrance
/agent5/battery2/charging,1640,True,0.0159,0.0707,0.0549,i need to read battery service in garage
/agent12/battery5/charge,4076,True,0.0,0.2539,0.2539,i need to read battery service in entrance
/agent5/battery1/charging,1700,True,0.0,0.9418,0.9418,i need to read battery service in garage
/agent11/battery4/charging,2175,True,0.0,1.0,1.0,i need to read battery service in watter room
/agent13/movement13/lastChange,10,True,0.0,1.0,1.0,i need to write movement sensor in bed room
/agent23/movement23/lastChange,7,True,0.0,1.0,1.0,i need to write movement sensor in room_4
/agent25/movement25/lastChange,7,True,0.0,1.0,1.0,i need to write movement sensor in room_6
/agent26/movement26/lastChange,7,True,0.0,1.0,1.0,i need to write movement sensor in room_7
/agent28/movement28/lastChange,6,True,0.0,1.0,1.0,i need to write movement sensor in room_9
/agent21/movement21/lastChange,5,True,0.0,1.0,1.0,i need to write movement sensor in room_2
/agent11/movement11/lastChange,3,True,0.0,1.0,1.0,i need to write movement sensor in watter room
/agent3/doorlock1/open,2,False,0.0,1.0,1.0,i need to subscribe door lock service in dinning room
/agent1/lightcontrol1,1,False,0.0,1.0,1.0,i need to register service light controler in bed room children
/agent10/doorlock2,1,False,0.0,1.0,1.0,i need to register service door lock service in living room
/agent11/movement11,1,False,0.0,1.0,1.0,i need to register service movement sensor in watter room
/agent11/washingmachine2,1,False,0.0,1.0,1.0,i need to register service washing service in watter room
/agent12/heatingcontrol3/heatingOn,1,False,0.0,1.0,1.0,i need to read thermostat in entrance
/agent12/movement12,1,False,0.0,1.0,1.0,i need to register service movement sensor in entrance
/agent12/tempin12,1,False,0.0,1.0,1.0,i need to read sensor service in entrance
/agent13/lightcontrol13,1,False,0.0,1.0,1.0,i need to register service light controler in bed room
/agent2/lightcontrol2,1,False,0.0,1.0,1.0,i need to register service light controler in bed room parents
/agent2/movement2,1,False,0.0,1.0,1.0,i need to register service movement sensor in bed room parents
/agent20/movement20,1,False,0.0,1.0,1.0,i need to register service movement sensor in room_1
/agent21/doorlock5,1,False,0.0,1.0,1.0,i need to register service door lock service in room_2
/agent21/movement21,1,False,0.0,1.0,1.0,i need to register service movement sensor in room_2
/agent6/movement6,1,False,0.0,1.0,1.0,i need to register service movement sensor in bath room
/agent6/washingmachine1/washing,1,False,0.0,1.0,1.0,i need to read washing service in bath room
